Id	Entry	Left	Right	LeftStoich	RightStoich
1712551	META:ALLANTOATE-DEIMINASE-RXN	1533056 1583219 1572800	1598043 1551441 1572973	1.0 1.0 2.0	1.0 1.0 1.0
1712554	META:VALINE-PYRUVATE-AMINOTRANSFER-RXN	1584742 1586812	1595129 1559642	1.0 1.0	1.0 1.0
1712566	META:R265-RXN	1572800 1550688 1615933	1615939 1575344	1.0 1.0 1.0	1.0 1.0
1712571	META:3.4.24.49-RXN	1615894 1583219	1615896	1.0 1.0	-1.0
1712573	META:PEPTIDYL-GLUTAMINASE-RXN	1583219 1600910	1598043 1572800 1541044	1.0 1.0	1.0 1.0 1.0
1712575	META:RXN-7897	1586414 1573324	1573354 1573410	1.0 1.0	1.0 1.0
1712577	META:RXN-7894	1567561 1586414	1577483 1573341	1.0 1.0	1.0 1.0
1712578	META:RXN-7895	1577483 1586414	1573380 1573365	1.0 1.0	1.0 1.0
1712579	META:RXN-6561	1581161 1566073	1590436 1556679	1.0 1.0	1.0 1.0
1712581	META:RXN-7892	1577478 1586414	1573380 1573341	1.0 1.0	1.0 1.0
1712582	META:RXN-6562	1583219 1566073	1598043 1538441	1.0 1.0	1.0 1.0
1712584	META:RXN-7893	1567561 1586414	1573365 1577478	1.0 1.0	1.0 1.0
1712585	META:RXN-7891	1586414 1577508	1573341 1577478	1.0 1.0	1.0 1.0
1712586	META:3.1.16.1-RXN	1583219 1712588	1598901 1712588	-1.0 1.0	-1.0 1.0
1712589	META:1.1.1.39-RXN	1563457 1560321	1610842 1586812 1551441	1.0 1.0	1.0 1.0 1.0
1712604	META:R423-RXN	1555678 1586414 1572800 1610842	1583219 1555648 1563457	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1712607	META:RXN-7885	1609449 1586414	1573402 1573380	1.0 2.0	2.0 1.0
1712673	META:RXN-7864	1602839 1572576	1605631 1562255	1.0 1.0	1.0 1.0
1712676	META:2.7.1.145-RXN	1611946 1600915	1610535 1615675 1572800	1.0 1.0	1.0 1.0 1.0
1712678	META:RXN-7860	1559908 1577170	1570608 1577290	1.0 1.0	1.0 1.0
1712679	META:DAHPSYN-RXN	1583219 1588391 1543319	1562287 1542760	1.0 1.0 1.0	1.0 1.0
1712688	META:2.4.1.207-RXN	1583925 1574844	1543500 1559213	1.0 1.0	1.0 1.0
1712690	META:CHORISMATEMUT-RXN	1549995	1605361	1.0	1.0
1712704	META:3-PROPYLMALATE-SYNTHASE-RXN	1583219 1598658 1534580	1554635 1572800 1562255	1.0 1.0 1.0	1.0 1.0 1.0
1712707	META:BETA-GLUCOSIDE-KINASE-RXN	1611946 1543985	1572800 1610535 1561855	1.0 1.0	1.0 1.0 1.0
1712710	META:RXN66-360	1615923 1586414 1538645 1572800	1583219 1615929 1591905	2.0 1.0 1.0 2.0	1.0 2.0 1.0
1712713	META:RXN66-361	1586414 1572800 1615923 1591905	1565581 1583219 1615929	1.0 2.0 2.0 1.0	1.0 2.0 2.0
1712714	META:RXN66-362	1602701	1586165	1.0	1.0
1712716	META:RXN3O-3797	1536940 1565836	1615953 1599153	1.0 1.0	1.0 1.0
1712718	META:1.8.3.5-RXN	1583219 1551783 1586414	1534773 1539842 1590160	1.0 1.0 1.0	1.0 1.0 1.0
1712720	META:RXN5F9-56	1563457 1587561	1572800 1551813 1610842	1.0 1.0	1.0 1.0 1.0
1712723	META:RXN66-353	1563457 1537062	1610842 1602706 1572800	1.0 1.0	1.0 1.0 1.0
1712725	META:RXN66-350	1563457 1602696	1610842 1602715 1572800	1.0 1.0	1.0 1.0 1.0
1712726	META:RXN66-351	1602715	1590477	1.0	1.0
1712727	META:RXNMETA-12666	1536835 1572800 1615946 1586414	1583219 1615950 1569060	1.0 2.0 1.0 1.0	1.0 1.0 1.0
1712731	META:SUCCARGDIHYDRO-RXN	1572800 1583219 1560696	1551441 1576655 1598043	2.0 2.0 1.0	1.0 1.0 2.0
1712735	META:RXN66-356	1572800 1590477 1586414 1569568	1583219 1594270 1610854	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1712231	META:RXN0-1603	1583219 1589995	1572800 1570608 1598903	1.0 1.0	1.0 1.0 1.0
1712234	META:2.1.3.9-RXN	1568414 1582659	1542760 1572800 1573556	1.0 1.0	1.0 1.0 1.0
1712238	META:RXN66-320	1569744	1584134	1.0	1.0
1712243	META:RXN66-323	1537234 1610854	1569568 1572800 1548813	1.0 1.0	1.0 1.0 1.0
1712248	META:RXN-7809	1576096 1586414 1572800	1576199 1583219	1.0 1.0 2.0	1.0 1.0
1712250	META:RXN66-321	1610854 1548794	1572800 1584134 1569568	1.0 1.0	1.0 1.0 1.0
1712252	META:RXN-7807	1576131 1572800 1586414	1576073 1583219	1.0 2.0 1.0	1.0 1.0
1712254	META:HYDROXYPYRUVATE-REDUCTASE-RXN	1572364 1594308	1568868 1572800 1597190	1.0 1.0	1.0 1.0 1.0
1712384	META:RXN66-337	1583219 1602676	1601243 1543827	1.0 1.0	1.0 1.0
1712386	META:RXN1G-0	1555736 1547260	1572800 1555878 1613857	1.0 1.0	1.0 1.0 1.0
1712388	META:TROPINE-DEHYDROGENASE-RXN	1583092 1610854	1574251 1572800 1569568	1.0 1.0	1.0 1.0 1.0
1712393	META:RXN1G-2	1547255 1583219	1547237 1549494	1.0 1.0	1.0 1.0
1712396	META:3.1.4.2-RXN	1602936 1583219	1550348 1599839 1572800	1.0 1.0	1.0 1.0 1.0
1712400	META:3.5.2.16-RXN	1583219 1533907	1572800 1562801	1.0 1.0	1.0 1.0
1712403	META:RXN-7858	1577332 1572800	1551441 1577298	1.0 1.0	1.0 1.0
1712405	META:RXN-7859	1572800 1577316	1551441 1577303	1.0 1.0	1.0 1.0
1712406	META:RXN-7856	1577253 1586414	1590160 1577316	1.0 1.0	1.0 1.0
1712408	META:UDP-NACMURALGLDAPLIG-RXN	1555763 1598686 1611946	1542760 1610535 1551946 1572800	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1712412	META:RXN-7857	1577239 1572800	1577324 1551441	1.0 1.0	1.0 1.0
1712413	META:RXN-6523	1586414 1603463 1609555	1578640 1564710 1551441	1.0 1.0 1.0	1.0 1.0 1.0
1713857	META:RXN-7740	1580488 1586414 1572800 1569568	1610854 1580461	1.0 1.0 2.0 1.0	1.0 1.0
1713861	META:RXN-7741	1572800 1580467 1610854	1580461 1569568	1.0 1.0 1.0	1.0 1.0
1713864	META:DIHYDROPYRIMIDINASE-RXN	1587208 1583219	1613161 1572800	1.0 1.0	1.0 1.0
1713868	META:MANNITOL-2-DEHYDROGENASE-NADP+-RXN	1569258 1610854	1569568 1598542 1572800	1.0 1.0	1.0 1.0 1.0
