ModelEntityId	EntityType	ClusterEntry	ClusterId
1817713	ModelReaction	mrxn_89	431961
1804146	ModelReaction	mrxn_89	431961
1813757	ModelReaction	mrxn_89	431961
1818053	ModelReaction	mrxn_89	431961
1812586	ModelReaction	mrxn_89	431961
1765060	ModelReaction	mrxn_89	431961
1813448	ModelReaction	mrxn_89	431961
1813755	ModelReaction	mrxn_89	431961
1767877	ModelReaction	mrxn_89	431961
1768160	ModelReaction	mrxn_89	431961
1768162	ModelReaction	mrxn_89	431961
1805685	ModelReaction	mrxn_89	431961
1806071	ModelReaction	mrxn_89	431961
1756396	ModelReaction	mrxn_89	431961
1756777	ModelReaction	mrxn_89	431961
1817884	ModelReaction	mrxn_89	431961
1810713	ModelReaction	mrxn_89	431961
1818006	ModelReaction	mrxn_89	431961
1802884	ModelReaction	mrxn_89	431961
1806598	ModelReaction	mrxn_89	431961
1767870	ModelReaction	mrxn_89	431961
1767864	ModelReaction	mrxn_89	431961
1764486	ModelReaction	mrxn_89	431961
1808514	ModelReaction	mrxn_89	431961
1817549	ModelReaction	mrxn_90	431972
1819878	ModelReaction	mrxn_90	431972
1757205	ModelReaction	mrxn_91	431973
1806506	ModelReaction	mrxn_91	431973
1810563	ModelReaction	mrxn_92	431970
1798675	ModelReaction	mrxn_92	431970
1797841	ModelReaction	mrxn_92	431970
1810562	ModelReaction	mrxn_92	431970
1813145	ModelReaction	mrxn_92	431970
1767629	ModelReaction	mrxn_92	431970
1810568	ModelReaction	mrxn_92	431970
1797843	ModelReaction	mrxn_92	431970
1798764	ModelReaction	mrxn_92	431970
1813186	ModelReaction	mrxn_92	431970
1810571	ModelReaction	mrxn_92	431970
1813184	ModelReaction	mrxn_92	431970
1812623	ModelReaction	mrxn_92	431970
1798761	ModelReaction	mrxn_92	431970
1812622	ModelReaction	mrxn_92	431970
1810570	ModelReaction	mrxn_92	431970
1768163	ModelReaction	mrxn_93	431971
1804085	ModelReaction	mrxn_93	431971
1757697	ModelReaction	mrxn_93	431971
1807003	ModelReaction	mrxn_93	431971
1798331	ModelReaction	mrxn_93	431971
1813760	ModelReaction	mrxn_93	431971
1809348	ModelReaction	mrxn_93	431971
1818547	ModelReaction	mrxn_94	431968
1810989	ModelReaction	mrxn_94	431968
1768422	ModelReaction	mrxn_94	431968
1756451	ModelReaction	mrxn_94	431968
1805742	ModelReaction	mrxn_94	431968
1803560	ModelReaction	mrxn_94	431968
1808589	ModelReaction	mrxn_94	431968
1814030	ModelReaction	mrxn_94	431968
1798749	ModelReaction	mrxn_94	431968
1764008	ModelReaction	mrxn_94	431968
1819888	ModelReaction	mrxn_95	431983
1817527	ModelReaction	mrxn_95	431983
1817520	ModelReaction	mrxn_96	431978
1819893	ModelReaction	mrxn_96	431978
1757050	ModelReaction	mrxn_97	431979
1809540	ModelReaction	mrxn_97	431979
1803705	ModelReaction	mrxn_97	431979
1819018	ModelReaction	mrxn_97	431979
1764583	ModelReaction	mrxn_97	431979
1806351	ModelReaction	mrxn_97	431979
1811399	ModelReaction	mrxn_98	431976
1764112	ModelReaction	mrxn_98	431976
1812957	ModelReaction	mrxn_98	431976
1805896	ModelReaction	mrxn_98	431976
1816938	ModelReaction	mrxn_98	431976
1798418	ModelReaction	mrxn_98	431976
1767426	ModelReaction	mrxn_98	431976
1756602	ModelReaction	mrxn_98	431976
1808794	ModelReaction	mrxn_98	431976
1802427	ModelReaction	mrxn_98	431976
1810375	ModelReaction	mrxn_99	431977
1812835	ModelReaction	mrxn_99	431977
1767320	ModelReaction	mrxn_99	431977
1798197	ModelReaction	mrxn_99	431977
1817529	ModelReaction	mrxn_100	431988
1819891	ModelReaction	mrxn_100	431988
1812789	ModelReaction	mrxn_101	431989
1767285	ModelReaction	mrxn_101	431989
1817528	ModelReaction	mrxn_102	431984
1819890	ModelReaction	mrxn_102	431984
1806566	ModelReaction	mrxn_103	431985
1808612	ModelReaction	mrxn_103	431985
1803981	ModelReaction	mrxn_103	431985
1757265	ModelReaction	mrxn_103	431985
1817983	ModelReaction	mrxn_103	431985
1765275	ModelReaction	mrxn_103	431985
1802782	ModelReaction	mrxn_103	431985
1764841	ModelReaction	mrxn_104	431998
1819309	ModelReaction	mrxn_104	431998
1763798	ModelReaction	mrxn_105	431999
1756336	ModelReaction	mrxn_105	431999
1768055	ModelReaction	mrxn_105	431999
1805623	ModelReaction	mrxn_105	431999
1816622	ModelReaction	mrxn_105	431999
1798142	ModelReaction	mrxn_105	431999
1808418	ModelReaction	mrxn_105	431999
1803580	ModelReaction	mrxn_105	431999
1813656	ModelReaction	mrxn_105	431999
1798823	ModelReaction	mrxn_106	431996
1765517	ModelReaction	mrxn_106	431996
1814093	ModelReaction	mrxn_106	431996
1811077	ModelReaction	mrxn_106	431996
1768484	ModelReaction	mrxn_106	431996
1810916	ModelReaction	mrxn_107	431997
1810918	ModelReaction	mrxn_107	431997
1767302	ModelReaction	mrxn_107	431997
1798277	ModelReaction	mrxn_107	431997
1812809	ModelReaction	mrxn_107	431997
1798133	ModelReaction	mrxn_107	431997
1813328	ModelReaction	mrxn_107	431997
1768311	ModelReaction	mrxn_108	431994
1813901	ModelReaction	mrxn_108	431994
1768016	ModelReaction	mrxn_108	431994
1798571	ModelReaction	mrxn_108	431994
1810460	ModelReaction	mrxn_108	431994
1768172	ModelReaction	mrxn_108	431994
1810504	ModelReaction	mrxn_109	431995
1810506	ModelReaction	mrxn_109	431995
1819306	ModelReaction	mrxn_110	431992
1764839	ModelReaction	mrxn_110	431992
