Id	Entry	Left	Right	LeftStoich	RightStoich
1673389	rxn03992	1492514 1492246 1492255 1503946	1492250 1492225 1505156	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1673392	rxn02661	1492514 1497080	1492266 1496338	1.0 1.0	1.0 1.0
1673395	rxn03991	1492246 1493846 1492255	1493127 1492250 1492514	1.0 2.0 2.0	2.0 1.0 1.0
1673399	rxn03990	1492255 1493846 1492243	1492514 1492240 1493127	2.0 2.0 1.0	1.0 1.0 2.0
1673401	rxn00001	1492225 1492268	1492514 1492258	1.0 1.0	2.0 2.0
1672289	rxn03910	1511633	1511664 1492417	1.0	1.0 1.0
1672299	rxn03916	1505786 1492238	1503618 1492268	1.0 1.0	1.0 1.0
1672304	rxn03915	1498118 1492225 1492240	1492243 1495968 1492514	1.0 1.0 1.0	1.0 1.0 2.0
1672307	rxn03914	1511606	1511608	1.0	1.0
1672309	rxn03913	1492250 1496058	1501926 1492246 1492514	1.0 1.0	1.0 1.0 1.0
1672315	rxn03919	1492225 1511716	1492258 1492514 1505786	1.0 1.0	1.0 1.0 1.0
1672321	rxn03918	1505781 1492238	1492256 1511716	1.0 1.0	1.0 1.0
1672326	rxn03917	1493233	1505781	1.0	1.0
1672331	rxn02690	1496506 1493216 1492255	1492225 1498354 1493207	1.0 1.0 1.0	1.0 1.0 1.0
1672338	rxn00030	1493709	1497945	2.0	1.0
1672342	rxn01362	1495048 1492268	1492693 1493266	1.0 1.0	1.0 1.0
1672348	rxn02693	1493097 1496542	1492268 1496547	2.0 1.0	2.0 1.0
1672351	rxn01363	1493270 1492240	1492514 1494726 1492243	1.0 1.0	1.0 1.0 1.0
1672354	rxn02694	1492514 1496550 1492225	1499407 1492271	1.0 1.0 1.0	1.0 1.0
1672357	rxn00032	1492667 1492255	1492225 1493927	2.0 1.0	2.0 2.0
1672360	rxn01360	1492255 1493383	1493266 1492329	1.0 1.0	1.0 1.0
1672373	rxn02691	1493022 1496794	1496531 1492298	1.0 1.0	1.0 1.0
1672376	rxn00031	1493735	1499542 1492548	2.0	1.0 1.0
1672380	rxn01361	1492240 1493383	1492514 1493266 1492243	1.0 1.0	1.0 1.0 1.0
1672387	rxn02692	1496540	1503042	1.0	1.0
1672389	rxn00034	1492255 1500485	1494296	1.0 1.0	2.0
1672396	rxn01366	1492514 1492258 1493278	1494014 1492637	1.0 1.0 1.0	1.0 1.0
1672403	rxn02697	1492321 1492255 1503068	1492372 1492266 1492225 1496583	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1672405	rxn00033	1492255 1495243	1492266 1494072	1.0 2.0	2.0 2.0
1672408	rxn01367	1495639 1492225	1492258 1493278 1492514	1.0 1.0	1.0 1.0 1.0
1672415	rxn02698	1496583	1496586 1492266	1.0	1.0 1.0
1672416	rxn00036	1492255 1493426	1492225 1494466	1.0 2.0	2.0 2.0
1672419	rxn01364	1492663 1493270	1494726 1495627	1.0 1.0	1.0 1.0
1672422	rxn02695	1496551 1492225	1492335 1503291	1.0 1.0	1.0 1.0
1672425	rxn00035	1496216 1492255	1494300 1492225	2.0 1.0	2.0 2.0
1672428	rxn01365	1494382 1492225	1493241 1492271 1492298	1.0 1.0	1.0 1.0 1.0
1672434	rxn02696	1503290 1492225	1496551 1492335	1.0 1.0	1.0 1.0
1672435	rxn00038	1492225 1500483	1492514 1495005	1.0 1.0	1.0 2.0
1672438	rxn00037	1492514 1494880 1492255	1492266 1494953	2.0 2.0 1.0	2.0 2.0
1672445	rxn01368	1492514 1492225 1493704	1492271 1493278	1.0 1.0 1.0	1.0 1.0
1672449	rxn02699	1492321 1492255 1496586	1492266 1503071 1492372	1.0 1.0 1.0	1.0 1.0 1.0
1672455	rxn00039	1495183	1492335 1499756	2.0	1.0 1.0
1672462	rxn01369	1492321 1492255 1493825	1492266 1493278 1492372	1.0 1.0 1.0	1.0 1.0 1.0
1672469	rxn13340	1492711 1492514	1492711 1492514	1.0 1.0	1.0 1.0
