Id	Entry	Name
897164	G13031	null
897292	G13032	null
897324	G06780	null
897337	G13033	null
897350	G08421	null
897362	G13041	null
897374	G12336	null
923397	G10557	null
946643	G00849	Ap5-Cer
946844	G00708	Ap4-Cer;III6P-Etn-Ap4-Cer
960611	G03121	null
957405	G03045	null
962879	G12396	6-(alpha-D-glucosaminyl)-1D-myo-inositol
986889	G07376	null
993048	G10506	Pectic acid
990452	G00395	Lc4;r-Lactotetraose-HSA;Lacto-N-tetraose;LNT
1010849	G01831	null
1010877	G00272	null
1011241	G00421	null
1014616	G03573	Lactulose
1014196	G00711	null
1014235	G10008	null
1014273	G00526	null
1037399	G10607	null
1036253	G01047	null
1043626	G10592	Acetyl-maltose
1046370	G11771	null
1049365	G10497	null
1044549	G00247	Chacotriose;Chacotrioside
1055570	G10519	Maltose 6'-phosphate
1057637	G01185	GM3
1065101	G11109	ADP-glucose;Adenosine diphosphoglucose
1061961	G10617	Dolichyl phosphate D-mannose;Dolichyl D-mannosyl phosphate
1060436	G10501	beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol
1060247	G00108	GM3;Hematoside
1070664	G10586	null
1083274	G10518	null
1086895	G04083	null
1086918	G00010	null
1086952	G00171	null
1086975	G04485	null
1086987	G10596	null
1087027	G12702	null
1087043	G00009	null
1087056	G00012	null
1087259	G01813	null
1087288	G10597	null
1087340	G00007	null
1093565	G09914	Aclacinomycin A
1093059	G00552	G4;Schizophyllan
1092225	G02977	null
1092232	G00392	iGb4-Cer;iso-Gb4-Cer
1091663	G11960	null
1098760	G00555	Lacto-N-neohexaose;LNnH
1098774	G00993	Lacto-N-hexaose;LNH
1112516	G02213	GD1a analog
1112886	G03932	GQ1b
1113565	G00168	N-Acetylgalactosaminyl GD1a;GalNAc-GD1a
1113627	G00334	null
1109953	G00970	null
1108319	G00536	nLc4;Lacto-N-neotetraose;LNneoT;LNnT
1108422	G00448	null
1119302	G00737	IV3GlcA-nLc4-Cer
1119323	G00376	GM1-NeuGc
1117868	G01084	null
1118346	G01033	null
1115826	G10536	Chitosan;beta-1,4-Poly-D-glucosamine
1115990	G00574	null
1116392	G05419	null
1127554	G12270	null
1127584	G12260	null
1127908	G06805	null
1127926	G00374	null
1122796	G00847	null
1124334	G05924	null
1124448	G05139	null
1124698	G00014	null
1124715	G00013	null
1124724	G01829	null
1124741	G01848	null
1131828	G10819	null
1131837	G10694	null
1131843	G10695	null
1132036	G10680	null
1132037	G12081	null
1128021	G00324	null
1129504	G00294	IV3SO4GlcA-nLc4-Cer;LK1
1139014	G03578	null
1139486	G00439	null
1139507	G03416	null
1139527	G00419	null
1139539	G03576	null
1150832	G00501	Manninotriose
1149457	G00111	GD1a
1156054	G00162	null
1174208	G00517	Erlose
1174246	G01042	null
1176340	G10613	UDP-D-xylose;UDP-xylose
1176717	G10558	null
1182471	G00246	N-Acetyllactosamine
1183152	G02517	null
1181611	G09660	null
1181657	G13040	null
1181693	G12741	null
1181715	G00688	null
1181937	G02632	null
1181952	G00164	null
1183579	G11334	Chondroitin
1186173	G00024	T antigen
1186304	G00176	null
1186479	G10588	null
1188348	G00028	null
1188581	G10610	UDP-N-acetyl-D-glucosamine;UDP-N-acetylglucosamine
1187655	G00066	nLc5Cer
1196651	G10505	Hyaluronic acid;Hyaluronate
1198804	G07471	Alginate;Alginic acid
1197454	G10508	Sucrose 6'-phosphate;Sucrose 6F-phosphate
1203305	G10616	CMP-N-acetylneuraminate;CMP-N-acetylneuraminic acid
1203330	G00026	null
1279457	G00109	GM2;Ganglioside
1202574	G00174	null
1199658	G00322	Primeveroside;Alangionoside;Chikusetsusaponin Ia;Epilucumin;Neohancoside
1199768	G00029	null
1285082	G10528	Inulobiose
1285218	G11113	ADP;Adenosine 5'-phosphate
1285311	G11174	Mycothiol
1305583	G00195	null
1310809	G11188	LDN-DF
1310879	G00690	LacdiNAc
1314298	G01455	Celloheptaose;Maltoheptaose
1314332	G00318	Cellotriose;Cellosaccharide
1316879	G00051	nLc5Cer
1408224	G00426	null
1408225	G00427	null
1408226	G00428	IV4Gala-nLc4-Cer
1408228	G00429	XXXG;GXXGol;XG6;XGXGol;XXGGol;XXXGol
1408235	G00431	null
1408236	G00433	XXFG;XXFGol
1408239	G00434	null
1408240	G00436	3'-Sialyllactose;3'-SL;Sialyllactose
1408244	G00437	null
1408245	G00438	6-Fucosyl-N,N'-diacetylchitobiose
1408247	G00441	null
1408248	G00443	a-Hederin;Patrina-glycoside A-I
1408251	G00444	null
1408252	G00445	null
1408253	G00446	null
1408254	G00447	null
1408255	G00449	null
1408256	G00451	null
1408257	G00452	null
1408258	G00453	GD3-NeuGc-NeuGc
1408260	G00454	null
1408261	G00455	null
1408262	G00456	Melezitose
1408263	G00457	Maltotetraose
1408264	G00458	Cehrioside;Xanthorhamnin
1408267	G00460	kudzusaponin SA1;soyasaponin III
1408269	G00461	null
1408270	G00462	null
1408271	G00464	null
1408272	G00465	null
1408273	G00467	null
1408274	G00468	null
1408275	G00469	null
1408276	G00472	null
1408277	G00473	null
1408279	G00475	null
1408280	G00478	6'-Galactosyllactose
1408282	G00479	Neokestose
1408284	G00480	OJV-II;Alangionoside;Osmanthuside;Osmantolide;Peujaponiside
1408289	G00481	Spinoside
1408291	G00482	Azukisaponin V;Kaikasaponin I;Robinioside
1408295	G00483	null
1408296	G00484	null
1408297	G00485	Mabioside E
1408299	G00487	null
1408300	G00488	null
1408301	G00490	null
1408302	G00495	null
1408303	G00496	null
1408304	G00497	Ga2-Cer
1408306	G00498	null
1408307	G00499	Minengoside A;Ilwensisaponin;Scrophulasaponin;Songarosaponin
1408312	G00500	null
1408313	G00502	Arabinan
1408314	G00503	null
1408315	G00504	null
1408316	G00505	null
1408317	G00506	Lanatoside
1408319	G00507	delta-Di-HS-diS2;delta-DiH-(2,N)diS
1408322	G00508	delta Di4,6diS
1408324	G00509	delta-Di-HS-6S
1408326	G00512	null
1408327	G00513	null
1408328	G00514	GD3-NeuAc-NeuGc
1408330	G00515	GM3-Neu4Ac5Gc
1408332	G00519	Anemarrhenasaponin;Corchorusin D;Marcogenin diglycoside;Timosaponin A-III
1408336	G00520	Baiyunoside;Hosenkoside H;Leucoside;Majonoside-R2;Notoginsenoside-R2;Periandrin V;Phlomisoside III;Vina-ginsenoside
1408345	G00521	Mannobiose
1408346	G00523	null
1408347	G00524	null
1408348	G00525	null
1408349	G00527	delta Di-2,4diS
1408351	G00528	delta-Di-HS-NS
1408353	G00529	null
1408354	G00531	null
1408355	G00533	null
1408356	G00537	null
1408357	G00538	null
1408358	G00539	Fuc-GD1b;IV3Fuc,II3(NeuAc)2-Gg4-Cer;IV3FucII3(NeuAc)2-Gg4-Cer
1408362	G00540	GD1a-NeuGc-NeuGc
1408364	G00541	cisGM1-NeuGc;IV3-alpha-NeuGc-Gg4Cer
1408367	G00543	null
1408368	G00544	LA-14-HP;LA-15-HP
1408371	G00545	Gal4,4,3TRI
1408373	G00547	Penta-acetyl-gitoxin
1408375	G00549	Chitin
1408376	G00550	null
1408377	G00551	null
1408378	G00553	delta diH-N,6diS;delta-Di-HS-diS1;delta-DiH-(N,6)diS
1408382	G00554	delta diH-0S;delta-Di-HS-0S;delta-DiH-OS
1407805	G00011	null
1407812	G00017	null
1407813	G00018	DS 3
1407815	G00019	null
1407816	G00020	null
1407817	G00021	null
1407818	G00022	null
1407819	G00023	Tn antigen
1407822	G00027	null
1407823	G00030	null
1407824	G00031	null
1407825	G00032	null
1407826	G00033	null
1407827	G00034	null
1407828	G00035	Sialyl-Tn antigen
1407830	G00038	null
1407831	G00046	Fuc-Lc4Cer;III4-a-Fuc-Lc4Cer;Lea glycolipid
1407834	G00047	3'-isoLM1;IV3-a-Neu5Ac-Lc4Cer;sLc4Cer
1407838	G00048	Fuc-3'-isoLM1;IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer
1407841	G00053	null
1407842	G00057	null
1407843	G00060	III3Fuc-nLc4Cer;III3-a-Fuc-nLc4Cer;Lacto-N-fucopentaosyl III ceramide;LNF III cer;SSEA-1
1407847	G00061	Sialyl-6-paragloboside;6'-LM1;IV6-a-Neu5Ac-nLc4Cer
1407851	G00064	3',8'-LD1
1407852	G00065	null
1407853	G00068	nLc7Cer
1407854	G00073	null
1407855	G00074	null
1407856	G00075	Type IIIAb
1407857	G00076	III3Fuc-nLc6Cer
1407858	G00080	null
1407859	G00081	null
1407860	G00082	null
1407861	G00083	null
1407862	G00084	null
1407863	G00085	null
1407864	G00086	null
1407865	G00087	VI6NeuAc-nLc6Cer
1407867	G00089	V3Fuc-nLc6Cer
1407868	G00090	V3Fuc,III3Fuc-nLc6Cer
1407869	G00091	null
1408096	G00305	Gentiosaccharide;Gentiotriose;Glucan
1408099	G00307	Acetyl-gitoxin;Pengitoxin
1408102	G00308	Gracillin
1408103	G00309	null
1408104	G00310	null
1408105	G00311	null
1408106	G00313	3-Fucosyllactose;3-FucLac;3-FL
1408109	G00314	null
1408110	G00315	null
1408111	G00316	Alginate;Alginic acid
1408113	G00319	null
1408114	G00320	null
1408115	G00321	null
1408120	G00323	null
1408121	G00325	null
1408122	G00326	null
1408123	G00327	null
1408124	G00330	null
1408125	G00331	null
1408126	G00333	null
1408127	G00335	Lactodifucotetraose;LDFT;LD
1408130	G00336	null
1408131	G00337	Commersonine;Eruboside B
1408134	G00338	Heparin;Heparan sulfate
1408135	G00339	1-Kestose
1408136	G00340	null
1408137	G00341	null
1408138	G00342	GM2-NeuGc
1408140	G00343	Maltopentaose
1408141	G00345	null
1408142	G00347	Formosanin-C
1408144	G00349	Saikosaponin
1408146	G00350	null
1408147	G00351	Saikosaponin
1408148	G00352	null
1408149	G00353	Chondroitin 4-sulfate;delta-Di-4S;DS-18
1408152	G00354	null
1408153	G00355	null
1408154	G00356	P1;galabiose
1408159	G00360	null
1408160	G00362	null
1408161	G00364	null
1408162	G00365	null
1408163	G00366	null
1408164	G00367	Chondroitin 6-sulfate;delta-Di-6S
1408166	G00368	null
1408167	G00369	null
1408170	G00371	b1-Tomatine;Lycotriose
1408173	G00372	null
1408174	G00373	Licorice-saponin L3;Saponin B;Soyasaponin;Subproside II
1408178	G00375	DS-18;delta-Di-OS
1408180	G00378	null
1408181	G00379	null
1408182	G00380	null
1408183	G00381	null
1408184	G00383	Lichenan
1408185	G00385	null
1408186	G00386	3'-Galactosyllactose
1408188	G00389	Isopanose;Maltosaccharide
1408189	G00391	LS-Tetrasaccharide b;LST b
1408194	G00393	PA5
1408196	G00394	null
1408197	G00396	delta DiH-2,N,6triS;delta-Di-HS-triS;delta-DiH-(2,6,N)triS
1408201	G00397	null
1408202	G00398	null
1408203	G00399	null
1408204	G00400	null
1408205	G00404	Kojibiose;a-Kojibiosyldiglyceride
1408207	G00407	null
1408208	G00409	Gitonin;Desgluco-digitonin;Lanagitoside
1408211	G00410	null
1408212	G00411	Nystose
1408214	G00412	Rhodopsin
1408215	G00413	null
1408216	G00414	null
1408217	G00417	null
1408218	G00422	Digalonin;Digitonin;Tiginin
1408221	G00423	hepta-b-glucoside
1408223	G00425	null
1407968	G00197	X3NeuAc,VII3Fuc-nLc10Cer,;CD65
1407971	G00198	null
1407972	G00199	null
1407973	G00200	null
1407974	G00202	null
1407975	G00203	null
1407976	G00204	null
1407977	G00205	null
1407978	G00206	null
1407979	G00207	null
1407980	G00208	null
1407981	G00209	null
1407982	G00210	null
1407983	G00211	null
1407984	G00212	null
1407985	G00214	null
1407986	G00216	null
1407987	G00217	null
1407988	G00218	null
1407989	G00219	null
1407990	G00221	null
1407991	G00222	null
1407992	G00224	null
1407993	G00225	Sialyl-Tn (Gc)
1407995	G00226	null
1407996	G00227	null
1407997	G00229	null
1407998	G00231	null
1407999	G00232	null
1408000	G00233	null
1408001	G00234	null
1408002	G00235	null
1408003	G00237	null
1408004	G00238	null
1408005	G00239	null
1408006	G00240	null
1408007	G00241	null
1408008	G00244	Chitin;Chito-oligosaccharide;Chitotriitol
1408011	G00245	null
1408012	G00248	F-gitogenin;F-gitonin;Agigenin;Aginoside;Lycotetraose
1408017	G00251	PA6;HpxB1
1408021	G00255	null
1408022	G00259	Digitoxin;Gitoxin;Gitaloxin;Digitalis;Digoxin;Gitoxin
1408024	G00260	BI6F
1408026	G00262	Ginsenoside;Anatolioside;Brownioside;Foliumin;Naringin;Phlomisoside
1408031	G00263	IV2Fuc,III4Fuc-Lc4-Cer;Lewis b antigen
1408033	G00264	Abrisaponin;Kaikosaponin III;Robinioside E;Saponin Bb;Saponin Be;Sophoraflavoside II;Soyasaponin;Subproside I
1408042	G00265	6'-Sialyllactose;6'-SL
1408043	G00266	Blood group substance A
1408045	G00268	2'-Fucosyllactose;2'-FucLac;2'-FL
1408048	G00269	null
